학교,학년,3모,1학기 중간,5모,6모,1학기 기말,7모,여름방학,9모,2학기 중간,10모,2학기 기말,겨울방학
1km 내,,,,,,,,,,,,,
충북여중,1학년,,4/28~30,,,6/29~7/1,,7/16~8/3,,x,,x,12/22~
충북여중,2학년,,4/28~30,,,6/29~7/1,,7/16~8/3,,10/6~8,,12/2~4,12/22~
충북여중,3학년,,4/28~30,,,6/29~7/1,,7/16~8/3,,10/6~8,,x,12/22~
충북여고,1학년,03-24,4/27~30,,06-04,7/1~7,,7/21~8/18,09-02,10/12~15,10-20,12/10~16,12/29~
충북여고,2학년,03-24,4/27~30,,06-04,7/1~7,,7/21~8/18,09-02,10/12~15,10-20,12/10~16,12/29~
충북여고,3학년,03-24,4/27~30,05-07,06-04,7/1~7,07-08,7/21~8/18,09-02,10/12~15,10-20,12/10~16,12/29~
운호중,1학년,,4/28~30,,,7/1~3,,7/20~8/18,,x,,x,1/8~
운호중,2학년,,4/28~30,,,7/1~3,,7/20~8/18,,10/21~23,,12/15~17,1/8~
운호중,3학년,,4/28~30,,,7/1~3,,7/20~8/18,,10/21~23,,x,1/8~
운호고,1학년,03-24,4/27~30,,06-04,6/29~7/3,,7/21~8/18,09-02,9/29~10/2,10-20,12/7~11,12/29~
운호고,2학년,03-24,4/27~30,,06-04,6/29~7/3,,7/21~8/18,09-02,9/29~10/2,10-20,12/7~11,12/29~
운호고,3학년,03-24,4/27~30,05-07,06-04,6/29~7/3,07-08,7/21~8/18,09-02,9/29~10/2,10-20,12/7~11,12/29~
청주여중,1학년,,4/29~30,,,6/29~7/2,,7/16~8/3,,x,,x,12/21~
청주여중,2학년,,4/29~30,,,6/29~7/2,,7/16~8/3,,10/7~8,,12/2~4,12/21~
청주여중,3학년,,4/29~30,,,6/29~7/2,,7/16~8/3,,10/6~8,,x,12/21~
2km 내,,,,,,,,,,,,,
일신여고,1학년,03-24,4/27~30,,06-04,6/30~7/3,,7/16~8/10,09-02,10/17~22,10-20,12/10~15,12/24~
일신여고,2학년,03-24,4/27~30,,06-04,6/30~7/3,,7/16~8/10,09-02,10/17~22,10-20,12/10~15,12/24~
일신여고,3학년,03-24,4/27~30,05-07,06-04,6/30~7/3,07-08,7/16~8/10,09-02,10/17~22,10-20,x,12/24~
일신여중,1학년,,4/29~30,,,7/1~3,,7/21~8/20,,미정,,미정,
일신여중,2학년,,4/29~30,,,7/1~3,,7/21~8/20,,미정,,미정,
